Wetlands name,State,ID,Species,Species normalized,Area,lat,lon,Groundwater recharge,Groundwater depth,Evaporation,Discharge,Salinity,BOD,bod,TP,ec,NOXN
Rottnest Island Lakes,WA,332,29,16.11111111,1.8,-32,115.5166667,1.00E+31,1.34258,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Spectacles Swamp,WA,333,16,11.26760563,1.42,-32.21666667,115.8333333,0.00035935,15.5625,0.629193,0.446745,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Thomsons Lake,WA,334,32,15.02347418,2.13,-32.15,115.8333333,0.000482174,20.3301,0.602215,0.471943,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Vasse—Wonnerup Wetland System,WA,335,67,6.7,10,-33.58333333,115.35,0.00105852,41.78625,0.405085,5.32123,1.00E+31,1.00E+31,1.222237503,0.165579056,194.7430771,0.670149992
Wannamal Lake System,WA,336,73,15.53191489,4.7,-31.06666667,116.0166667,0.000173181,21.94476,0.5023305,4.5616025,39.3548,0.751081,1.874093702,0.152757675,442.7510291,0.591477372
Yalgorup Lakes System,WA,337,167,2.982142857,56,-32.71666667,115.6166667,0.001047003,10.896535,0.585467,37.7959155,168.667,0.184118,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lake Gregory System,WA,338,54,0.139534884,387,-20.05,127.1666667,-1.95E-09,34.5144,0.4754085,2.64E-05,1.00E+31,1.00E+31,1.261867317,0.200757456,319.0458799,0.299422493
Lake Kununurra,WA,339,205,8.2,25,-15.78333333,128.6833333,0.000385454,34.92093,0.83054,4.31041,126.356,0.532442,1.223808482,0.201892375,291.5335597,0.276022129
Parry Floodplain,WA,340,148,1.644444444,90,-15.46666667,128.2,0.000163132,24.39465,0.924815,0.296865,113.625,0.00894842,1.084491968,0.250541408,199.2255655,0.260499124
Blackwood River (Lower Reaches) and Tributaries System,WA,341,40,6.451612903,6.2,-34.06666667,115.1166667,0.001344595,28.6855,0.45239,2.941375,1.00E+31,1.00E+31,1.075417391,0.086733064,129.2305944,0.422279713
Broke Inlet System,WA,342,73,1.500513875,48.65,-34.5,116.35,0.000654846,24.51555,0.8397175,0.591655,1.00E+31,1.00E+31,0.879250721,0.079440281,215.9462845,0.341880022
Doggerup Creek System,WA,343,488,19.33438986,25.24,-34.7,115.9666667,0.000721041,62.09555,0.8511275,3.3367095,1.23127,0.0887133,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Gingilup—Jasper Wetland System,WA,344,38,2.375,16,-34.33333333,115.4666667,0.000503107,15.463515,0.820266,3.3284,1.00E+31,1.00E+31,0.606324829,0.072217157,122.3365221,0.260682669
Maringup Lake,WA,345,5,1.748251748,2.86,-34.83333333,116.2,1.00E+31,17.6777,1.00E+31,1.00E+31,1.00E+31,1.00E+31,0.704684513,0.06405678,91.01210703,0.250857858
Mt. Soho Swamps,WA,346,6,12,0.5,-34.78333333,116.95,0.001097012,18.21185,0.665002,0.943912,4.13952,0.0211642,0.730499384,0.06878267,125.4892318,0.289604695
Owingup Swamp System,WA,347,26,2.476190476,10.5,-34.96666667,117.0333333,0.00061897,11.77255,0.702642,7.0129195,4.58293,0.691078,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Thundelarra Lignum Swamp,WA,348,7,5.185185185,1.35,-28.95,117.1833333,3.38E-06,4.99021,0.28727,0.121084,1.00E+31,1.00E+31,1.435105184,0.2588495,730.9983915,0.514715129
Gladstone Lake,WA,349,6,6,1,-17.18333333,126.2333333,6.45E-05,11.3808,0.812823,0.145257,123.831,0.0868054,1.174072369,0.141523954,247.9584121,0.24567512
Lake Bryde—East Lake Bryde,WA,350,2,1.481481481,1.35,-33.35,118.8166667,4.99E-06,16.4671,0.292108,0.246709,1.00E+31,1.00E+31,1.769815091,0.200036911,561.3174974,0.600122713
Mt. Bruce Coolibah—Lignum flats,WA,351,7,8.536585366,0.82,-22.63333333,118.2166667,4.64E-05,6.13955,0.38103,0.465883,1.00E+31,1.00E+31,1.424011828,0.267064603,758.5098295,0.444383999
"Palmer Barracks, Guildford C",WA,352,59,1180,0.05,-32.51666667,116.6333333,4.54E-05,62.9813,0.496835,0.0607357,1.00E+31,1.00E+31,1.413470342,0.094584535,276.9085974,0.426777951
Bowling Green Bay,QLD,353,371,1.140100181,325.41,-19.46194444,147.1477778,0.0014054,3.15776,0.455204,1.00E+31,23.9731,0.254004,1.233005513,0.152303918,282.0647884,0.440823531
Burdekin - Townsville Coastal Aggregation,QLD,354,497,0.333116618,1491.97,-19.46194444,147.1477778,0.0014054,3.15776,0.455204,20.5674,23.9731,0.254004,1.233005513,0.152303918,282.0647884,0.440823531
Lake Elphinstone,QLD,355,23,7.666666667,3,-21.53361111,148.2430556,1.23E-05,57.982,0.594592,0.0232831,1.00E+31,1.00E+31,1.314829421,0.131054743,501.5079678,0.354306219
Boggomoss Springs,QLD,356,29,7.25,4,-25.41666667,150.1666667,3.68E-06,44.6084,0.610961,0.230912,64.0322,1.0132,1.312280152,0.113355771,439.9995011,0.351053563
Fitzroy River Floodplain,QLD,357,891,4.569230769,195,-23.29277778,150.4422222,1.39E-05,3.38397,0.824599,167.813,108.135,0.120143,1.235011578,0.12912576,419.8200011,0.382511473
Hedlow Wetlands,QLD,358,113,1.017926313,111.01,-23.05055556,150.5538889,0.000477222,9.70795,0.563458,3.94313,1.00E+31,1.00E+31,1.039904221,0.124500773,227.7301669,0.362310519
Lake Broadwater,QLD,359,14,6.511627907,2.15,-27.35638889,151.1011111,1.50E-05,5.5366,0.514586,0.222387,1.00E+31,1.00E+31,1.757305711,0.138667864,572.6618466,0.527046716
Lake Nuga Nuga,QLD,360,56,2.706621556,20.69,-25.00944444,148.6902778,3.66E-05,8.47386,0.546785,2.81656,2.33622,0.55786,1.307190953,0.134600811,506.0749586,0.347331047
Palm Tree and Robinson Creeks,QLD,361,240,0.477383936,502.74,-25.39472222,149.7894444,1.11E-05,25.2808,0.622423,1.00432,1.00E+31,1.00E+31,1.397489351,0.139932496,599.3156499,0.377073983
The Gums Lagoon,QLD,362,149,43.44023324,3.43,-27.335,150.1963889,5.28E-06,4.12384,0.443069,0.83868,41.0676,0.63571,1.811090045,0.168047611,734.4433131,0.567385251
Birdsville - Durrie Waterholes Aggregation,QLD,363,23,0.070431161,326.56,-25.63305556,140,1.19E-06,4.79307,0.216119,4.52353,1.00E+31,1.00E+31,1.462037605,0.284159698,676.8737376,0.424239501
